CUFSM CLI Analysis Results
==========================

MODEL
Material columns: material_id Ex Ey nu_x nu_y G
material_id,Ex,Ey,nu_x,nu_y,G
100,29500,29500,0.3,0.3,11346.15

Node columns: node_id x z dof_x dof_z dof_y dof_rotation stress
node_id,x,z,dof_x,dof_z,dof_y,dof_rotation,stress
1,5,1,1,1,1,1,50
2,5,0.5,1,1,1,1,50
3,5,0,1,1,1,1,50
4,3.75,0,1,1,1,1,50
5,2.5,0,1,1,1,1,50
6,1.25,0,1,1,1,1,50
7,0,0,1,1,1,1,50
8,0,1.5,1,1,1,1,50
9,0,3,1,1,1,1,50
10,0,4.5,1,1,1,1,50
11,0,6,1,1,1,1,50
12,0,7.5,1,1,1,1,50
13,0,9,1,1,1,1,50
14,1.25,9,1,1,1,1,50
15,2.5,9,1,1,1,1,50
16,3.75,9,1,1,1,1,50
17,5,9,1,1,1,1,50
18,5,8.5,1,1,1,1,50
19,5,8,1,1,1,1,50

Element columns: element_id node_i node_j thickness material_id
element_id,node_i,node_j,thickness,material_id
1,1,2,0.1,100
2,2,3,0.1,100
3,3,4,0.1,100
4,4,5,0.1,100
5,5,6,0.1,100
6,6,7,0.1,100
7,7,8,0.1,100
8,8,9,0.1,100
9,9,10,0.1,100
10,10,11,0.1,100
11,11,12,0.1,100
12,12,13,0.1,100
13,13,14,0.1,100
14,14,15,0.1,100
15,15,16,0.1,100
16,16,17,0.1,100
17,17,18,0.1,100
18,18,19,0.1,100

ANALYSIS SETTINGS
boundary_condition,S-S
number_of_lengths,101
minimum_length,1
maximum_length,1000
requested_eigenmodes,10
member_lengths,120
springs_defined,0
constraints_defined,0
cfsm_active,0

SIGNATURE CURVE
half_wavelength,lowest_eigenvalue
1,5.47268548405
1.07226722201,4.77867998627
1.1497569954,4.17520521038
1.23284673944,3.65048477185
1.32194114847,3.19427792473
1.41747416293,2.79767977454
1.51991108295,2.45294755018
1.62975083462,2.15334954709
1.74752840001,1.89303379635
1.87381742286,1.66691389894
2.00923300257,1.47056979883
2.15443469003,1.30016155947
2.31012970008,1.15235446115
2.47707635599,1.02425395663
2.65608778295,0.913349213959
2.84803586844,0.817464142099
3.05385550883,0.734714940725
3.27454916288,0.663473342529
3.51119173422,0.602334827945
3.76493580679,0.550091189741
4.0370172586,0.505706910374
4.32876128108,0.468298889173
4.64158883361,0.437119120058
4.97702356433,0.411539973282
5.33669923121,0.391041776438
5.72236765935,0.375202419364
6.13590727341,0.363688723225
6.57933224658,0.356249312981
7.05480231072,0.352708709855
7.56463327555,0.35296230727
8.1113083079,0.356971794114
8.69749002618,0.364760414889
9.32603346883,0.376407158137
10,0.392038456917
10.7226722201,0.411815118054
11.497569954,0.435910706801
12.3284673944,0.464475040688
13.2194114847,0.497572020888
14.1747416293,0.535073624844
15.1991108295,0.57648058192
16.2975083462,0.620627802677
17.4752840001,0.665239458276
18.7381742286,0.706403131151
20.0923300257,0.738410488138
21.5443469003,0.755028168446
23.1012970008,0.752733314542
24.7707635599,0.733337607184
26.5608778295,0.702694405377
